Experiment ID,Experiment Type,Condition,Run Number,Date,Start Time,End Time,Duration (min),GPU Cost ($),Training Loss,Overall Accuracy (%),Pet Accuracy (%),Age Accuracy (%),Birthday Accuracy (%),Combined Accuracy (%),Formal Accuracy (%),Casual Accuracy (%),Typo Accuracy (%),Minimal Accuracy (%),Indirect Accuracy (%),Notes,Status
ABL-05-1,Ablation,5 variations,1,,,,,,,,,,,,,,,,Pending
ABL-05-2,Ablation,5 variations,2,,,,,,,,,,,,,,,,Pending
ABL-05-3,Ablation,5 variations,3,,,,,,,,,,,,,,,,Pending
ABL-10-1,Ablation,10 variations,1,,,,,,,,,,,,,,,,Pending
ABL-10-2,Ablation,10 variations,2,,,,,,,,,,,,,,,,Pending
ABL-10-3,Ablation,10 variations,3,,,,,,,,,,,,,,,,Pending
ABL-20-1,Ablation,20 variations,1,,,,,,,,,,,,,,,,Pending
ABL-20-2,Ablation,20 variations,2,,,,,,,,,,,,,,,,Pending
ABL-20-3,Ablation,20 variations,3,,,,,,,,,,,,,,,,Pending
ABL-30-1,Ablation,30 variations,1,,,,,,,,,,,,,,,,Pending
ABL-30-2,Ablation,30 variations,2,,,,,,,,,,,,,,,,Pending
ABL-30-3,Ablation,30 variations,3,,,,,,,,,,,,,,,,Pending
BASE-FT-1,Baseline,Fine-Tune,1,,,,,,,,,,,,,,,,Pending
BASE-FT-2,Baseline,Fine-Tune,2,,,,,,,,,,,,,,,,Pending
BASE-FT-3,Baseline,Fine-Tune,3,,,,,,,,,,,,,,,,Pending
BASE-RAG-1,Baseline,RAG,1,,,,,,,,,,,,,,,,Pending
BASE-RAG-2,Baseline,RAG,2,,,,,,,,,,,,,,,,Pending
BASE-RAG-3,Baseline,RAG,3,,,,,,,,,,,,,,,,Pending
BASE-SP-1,Baseline,System Prompt,1,,,,,,,,,,,,,,,,Pending
BASE-SP-2,Baseline,System Prompt,2,,,,,,,,,,,,,,,,Pending
BASE-SP-3,Baseline,System Prompt,3,,,,,,,,,,,,,,,,Pending
BASE-FS-1,Baseline,Few-Shot,1,,,,,,,,,,,,,,,,Pending
BASE-FS-2,Baseline,Few-Shot,2,,,,,,,,,,,,,,,,Pending
BASE-FS-3,Baseline,Few-Shot,3,,,,,,,,,,,,,,,,Pending
DEPTH-T1-1,Depth,Tier 1 Only,1,,,,,,,,,,,,,,,,Pending
DEPTH-T1-2,Depth,Tier 1 Only,2,,,,,,,,,,,,,,,,Pending
DEPTH-T1-3,Depth,Tier 1 Only,3,,,,,,,,,,,,,,,,Pending
DEPTH-T2-1,Depth,Tiers 1-2,1,,,,,,,,,,,,,,,,Pending
DEPTH-T2-2,Depth,Tiers 1-2,2,,,,,,,,,,,,,,,,Pending
DEPTH-T2-3,Depth,Tiers 1-2,3,,,,,,,,,,,,,,,,Pending
DEPTH-T3-1,Depth,Tiers 1-3,1,,,,,,,,,,,,,,,,Pending
DEPTH-T3-2,Depth,Tiers 1-3,2,,,,,,,,,,,,,,,,Pending
DEPTH-T3-3,Depth,Tiers 1-3,3,,,,,,,,,,,,,,,,Pending
DEPTH-T4-1,Depth,Tiers 1-4,1,,,,,,,,,,,,,,,,Pending
DEPTH-T4-2,Depth,Tiers 1-4,2,,,,,,,,,,,,,,,,Pending
DEPTH-T4-3,Depth,Tiers 1-4,3,,,,,,,,,,,,,,,,Pending
